Impressions,From Home,From Hashtags,From Explore,From Other,Saves,Comments,Shares,Likes,Profile Visits,Follows
3920,2586,1028,619,56,98,9,5,162,35,2
5394,2727,1838,1174,78,194,7,14,224,48,10
4021,2085,1188,0,533,41,11,1,131,62,12
4528,2700,621,932,73,172,10,7,213,23,8
2518,1704,255,279,37,96,5,4,123,8,0
3884,2046,1214,329,43,74,7,10,144,9,2
2621,1543,599,333,25,22,5,1,76,26,0
3541,2071,628,500,60,135,4,9,124,12,6
3749,2384,857,248,49,155,6,8,159,36,4
4115,2609,1104,178,46,122,6,3,191,31,6
2218,1597,411,162,15,28,6,3,81,29,4
3234,2414,476,185,75,122,8,14,151,15,0
4344,2168,1274,673,40,119,7,11,162,8,2
3216,2524,212,201,223,121,5,5,142,20,4
9453,2525,5799,208,794,100,6,10,294,181,42
5055,2017,2351,298,108,101,7,11,159,17,6
4002,3401,278,128,73,111,17,18,205,16,2
3169,1979,707,341,32,106,8,1,121,21,2
6168,2177,3450,153,296,82,6,6,151,77,30
2407,1338,655,276,39,40,8,20,72,10,0
2064,1304,362,249,37,49,4,5,76,9,0
3973,2415,745,676,18,72,3,4,91,11,24
7281,3065,1254,2081,748,167,7,9,195,144,100
3052,2608,201,121,87,63,5,14,129,14,2
4628,2406,1260,861,26,144,8,3,160,10,4
4082,2195,1248,541,36,135,11,5,175,19,6
5394,2275,2975,45,65,61,19,6,147,69,6
2766,2541,116,51,9,40,10,4,114,11,6
3924,2244,1278,326,34,139,11,3,151,19,2
3015,2034,771,115,41,52,11,4,92,9,2
6666,1977,4604,48,23,84,9,3,214,57,20
3854,1975,1721,60,43,81,11,15,150,13,2
4355,2879,139,1239,32,79,8,4,122,11,4
4343,2278,1460,521,27,105,6,3,152,24,8
6108,2679,2803,562,26,90,7,8,196,81,26
2523,1659,796,29,21,34,6,0,86,4,2
2327,1774,435,59,35,45,3,3,85,7,2
3990,2123,1482,332,36,98,4,11,156,14,4
2191,1308,809,45,18,35,2,1,72,18,0
1941,1466,411,37,17,49,6,3,82,8,2
16062,3144,11817,564,468,252,6,20,416,330,94
4998,2331,2195,318,75,167,4,13,180,21,8
4289,2746,869,589,24,111,8,4,150,19,18
3880,2207,1109,199,317,90,4,2,127,32,10
3786,2632,616,468,25,144,9,5,167,19,4
4298,3050,969,181,64,263,6,19,225,21,4
3630,1747,1693,72,86,137,4,10,137,14,4
2826,2108,583,76,34,67,3,3,114,30,4
7407,2782,1938,2237,226,288,5,15,263,39,18
10386,4137,3551,2355,205,668,8,41,328,42,38
2998,1945,794,84,139,42,4,1,126,31,10
7018,2569,4221,796,83,342,9,16,236,20,12
2941,1716,1058,84,48,48,2,1,99,12,4
6432,2812,2974,468,72,250,11,8,212,22,4
10667,3152,6564,617,187,219,13,15,297,306,74
3988,2415,802,545,64,118,6,9,142,13,0
4978,2125,2249,354,99,143,9,2,186,26,6
3388,1975,1018,244,44,99,1,7,112,16,6
4467,1910,1880,492,60,89,3,16,149,15,0
3246,2508,166,360,139,148,5,14,132,15,6
5072,1780,3090,69,76,42,7,6,115,39,12
6339,2190,4036,48,27,171,8,5,248,21,10
4239,1711,2429,36,50,109,2,1,178,8,8
3454,1663,1284,166,234,38,0,0,107,45,8
7571,3717,841,1716,1115,421,7,12,269,50,46
3333,1502,1423,182,148,38,3,5,96,37,12
3818,2357,442,250,536,116,6,0,134,25,10
10933,3152,6610,623,334,225,13,15,301,347,94
5058,2125,2250,362,111,144,9,2,187,26,6
3601,1570,1518,174,167,51,0,3,94,48,10
3480,1975,1019,245,72,104,1,7,114,16,6
3525,1323,1699,182,292,33,5,0,96,26,4
3606,2509,183,446,300,174,5,15,138,17,12
5542,1782,3212,213,168,46,7,6,122,52,16
6559,2225,4041,158,72,179,8,6,257,22,12
3623,1179,1527,157,655,34,3,0,95,41,8
10493,2106,7761,248,238,99,9,1,244,155,32
4446,2454,1590,192,69,174,6,11,190,12,8
2957,1926,349,217,369,70,4,2,118,22,16
5538,2597,2376,412,63,149,6,6,178,20,6
4681,2252,1674,360,308,207,7,12,170,23,10
5273,2673,2003,433,114,318,9,22,250,25,10
5055,2017,2351,298,108,101,7,11,159,17,6
4002,3401,278,128,73,111,17,18,205,16,2
3169,1979,707,341,32,106,8,1,121,21,2
6168,2177,3450,153,296,82,6,6,151,77,30
2407,1338,655,276,39,40,8,20,72,10,0
3630,1747,1693,72,86,137,4,10,137,14,4
2826,2108,583,76,34,67,3,3,114,30,4
7407,2782,1938,2237,226,288,5,15,263,39,18
10386,4137,3551,2355,205,668,8,41,328,42,38
2998,1945,794,84,139,42,4,1,126,31,10
3052,2608,201,121,87,63,5,14,129,14,2
4628,2406,1260,861,26,144,8,3,160,10,4
4082,2195,1248,541,36,135,11,5,175,19,6
5394,2275,2975,45,65,61,19,6,147,69,6
2766,2541,116,51,9,40,10,4,114,11,6
3924,2244,1278,326,34,139,11,3,151,19,2
3015,2034,771,115,41,52,11,4,92,9,2
5409,2643,2006,1068,230,393,10,27,275,38,14
5323,2000,2053,988,74,152,6,13,192,42,8
8001,2261,5055,300,172,83,8,7,203,92,14
4150,1807,1085,463,792,74,4,2,145,75,28
4609,2032,911,857,532,94,1,12,168,21,18
6348,2517,2660,737,154,188,4,15,194,26,12
11068,2099,2986,5634,122,214,7,8,250,39,34
7231,1855,4156,703,309,73,8,3,171,74,26
17396,1817,10008,5192,251,285,7,7,416,467,260
6814,2816,2769,900,128,469,8,22,249,24,16
17713,2449,2141,12389,561,504,3,23,308,70,96
5563,3813,362,1135,76,149,5,8,163,22,20
4842,1658,694,2036,310,55,6,4,86,46,30
11149,4439,747,5762,53,273,4,13,210,61,58
10206,2371,1624,6000,117,182,10,17,172,237,100
13700,5185,3041,5352,77,573,2,38,373,73,80
5731,1923,1368,2266,65,135,4,1,148,20,18
4139,1133,1538,1367,33,36,0,1,92,34,10
32695,11815,3147,17414,170,1095,2,75,549,148,214
36919,13473,4176,16444,2547,653,5,26,443,611,228
